actualitems > 38600
totalclass > [4] 20526
totalclass > [2] 4598
totalclass > [0] 2148
totalclass > [12] 4735
totalclass > [15] 2198
totalclass > [7] 828
totalclass > [9] 2207
totalclass > [3] 663
totalclass > [1] 125
totalclass > [11] 30
totalclass > [6] 56
totalclass > [13] 114
totalclass > [8] 1
totalclass > [5] 1
totalclass > [10] 24
totalclass > [16] 354
